"CÃ“DIGO";"PRODUCTO";"CATEGORÃA";"Unidad de medida";"Cantidad x pres.";"Peso X presentaciÃ³n";"MINORISTA                   Precio x presentaciÃ³n";"MAYORISTA                   Precio x presentaciÃ³n";"DISTRIBUIDOR                   Precio x presentaciÃ³n"
"SMPS5";"Sahumerio palo santo C/Sandalo";"SAGRADA MADRE";"UNIDAD";8;0,08;" $1.304,98 ";" $1.087,48 ";" $869,99 "
"SMPS6";"Sahumerio palo santo c/Champa";"SAGRADA MADRE";"UNIDAD";8;0,08;" $1.304,98 ";" $1.087,48 ";" $869,99 "
"SMPS7";"Sahumerio palo santo c/Romero";"SAGRADA MADRE";"UNIDAD";8;0,08;" $1.304,98 ";" $1.087,48 ";" $869,99 "
"SMPS8";"Sahumerio palo santo c/Jazmin";"SAGRADA MADRE";"UNIDAD";8;0,08;" $1.304,98 ";" $1.087,48 ";" $869,99 "
"SMPS9";"Sahumerio palo santo c/Vainilla";"SAGRADA MADRE";"UNIDAD";8;0,08;" $1.304,98 ";" $1.087,48 ";" $869,99 "
"SMPS10";"Sahumerio palo santo c/Yagra";"SAGRADA MADRE";"UNIDAD";8;0,08;" $1.304,98 ";" $1.087,48 ";" $869,99 "
"SMPS11";"Sahumerio palo santo c/Rosa";"SAGRADA MADRE";"UNIDAD";8;0,08;" $1.304,98 ";" $1.087,48 ";" $869,99 "
"SMPS12";"Sahumerio palo santo c/Lavanda";"SAGRADA MADRE";"UNIDAD";8;0,08;" $1.304,98 ";" $1.087,48 ";" $869,99 "
"SMPS13";"Sahumerio palo santo c/ruda";"SAGRADA MADRE";"UNIDAD";8;0,08;" $1.304,98 ";" $1.087,48 ";" $869,99 "
"SMPS14";"Sahumerio palo santo c/pachuli";"SAGRADA MADRE";"UNIDAD";8;0,08;" $1.304,98 ";" $1.087,48 ";" $869,99 "
"SMPS15";"Sahumerio palo santo c/violetas";"SAGRADA MADRE";"UNIDAD";8;0,08;" $1.304,98 ";" $1.087,48 ";" $869,99 "
"SMPS16";"Sahumerio palo santo c/fresias";"SAGRADA MADRE";"UNIDAD";8;0,08;" $1.304,98 ";" $1.087,48 ";" $869,99 "
"SMN1";"Sahumerio natural c/Incienso";"SAGRADA MADRE";"UNIDAD";8;0,08;" $1.547,93 ";" $1.289,94 ";" $1.031,95 "
"SMN2";"Sahumerio natural c/Mirra";"SAGRADA MADRE";"UNIDAD";8;0,08;" $1.547,93 ";" $1.289,94 ";" $1.031,95 "
"SMN3";"Sahumerio natural c/Copal";"SAGRADA MADRE";"UNIDAD";8;0,08;" $1.547,93 ";" $1.289,94 ";" $1.031,95 "
"SMN4";"Sahumerio natural c/Yagra";"SAGRADA MADRE";"UNIDAD";8;0,08;" $1.547,93 ";" $1.289,94 ";" $1.031,95 "
"SMN5";"Sahumerio natural c/Ruda, Romero e Incienso";"SAGRADA MADRE";"UNIDAD";8;0,08;" $1.547,93 ";" $1.289,94 ";" $1.031,95 "
"SMN6";"Sahumerio natural c/ Citronella, Naranja y Palo santo";"SAGRADA MADRE";"UNIDAD";8;0,08;" $1.547,93 ";" $1.289,94 ";" $1.031,95 "
"SMN7";"Sahumerio natural c/Sandalo y OlÃ­bano";"SAGRADA MADRE";"UNIDAD";8;0,08;" $1.547,93 ";" $1.289,94 ";" $1.031,95 "
"SMH1";"Sahumerio hierbas Lavanda y OlÃ­bano";"SAGRADA MADRE";"UNIDAD";9;0,09;" $1.847,38 ";" $1.539,48 ";" $1.231,59 "
"SMH2";"Sahumerio hierbas Incienso blanco";"SAGRADA MADRE";"UNIDAD";9;0,09;" $1.847,38 ";" $1.539,48 ";" $1.231,59 "
"SMH3";"Sahumerio hierbas Salvia blanca";"SAGRADA MADRE";"UNIDAD";9;0,09;" $1.847,38 ";" $1.539,48 ";" $1.231,59 "
"SMH4";"Sahumerio hierbas Rosas y OlÃ­bano";"SAGRADA MADRE";"UNIDAD";9;0,09;" $1.847,38 ";" $1.539,48 ";" $1.231,59 "
"SMH5";"Sahumerio hierbas Canela, Anis y OlÃ­bano";"SAGRADA MADRE";"UNIDAD";9;0,09;" $1.847,38 ";" $1.539,48 ";" $1.231,59 "
"SMH6";"Sahumerio hierbas Calendula, Manzanilla e Incienso";"SAGRADA MADRE";"UNIDAD";9;0,09;" $1.847,38 ";" $1.539,48 ";" $1.231,59 "
"SMH7";"Sahumerio hierbas Eucalipto, Laurel y Cedro";"SAGRADA MADRE";"UNIDAD";9;0,09;" $1.847,38 ";" $1.539,48 ";" $1.231,59 "
"SMT1";"Sahumerio triple 7 Chakras";"SAGRADA MADRE";"UNIDAD";7;0,07;" $1.794,34 ";" $1.495,28 ";" $1.196,23 "
"SMT2";"Sahumerio triple combinado";"SAGRADA MADRE";"UNIDAD";8;0,08;" $2.595,43 ";" $2.162,86 ";" $1.730,28 "
"SMBAX41";"Bomba activada 7 Poderes";"SAGRADA MADRE";"BOLSA";4;0,08;" $474,19 ";" $395,16 ";" $316,13 "
"SMBAX42";"Bomba activada Atrae dinero";"SAGRADA MADRE";"BOLSA";4;0,08;" $474,19 ";" $395,16 ";" $316,13 "
"SMBAX43";"Bomba activada Abre caminos";"SAGRADA MADRE";"BOLSA";4;0,08;" $474,19 ";" $395,16 ";" $316,13 "
"SMBAX44";"Bomba activada Palo santo";"SAGRADA MADRE";"BOLSA";4;0,08;" $474,19 ";" $395,16 ";" $316,13 "
"SMBAX45";"Bomba activada Destrabe";"SAGRADA MADRE";"BOLSA";4;0,08;" $474,19 ";" $395,16 ";" $316,13 "
"SMBAX46";"Bomba activada Limpieza energetica";"SAGRADA MADRE";"BOLSA";4;0,08;" $474,19 ";" $395,16 ";" $316,13 "
"SMBAX47";"Bomba activada Defumacion completa";"SAGRADA MADRE";"BOLSA";4;0,08;" $474,19 ";" $395,16 ";" $316,13 "
"SMBAX48";"Bomba activada 7 Hierbas copal";"SAGRADA MADRE";"BOLSA";4;0,08;" $474,19 ";" $395,16 ";" $316,13 "
"SMBAX81";"Bomba activada 7 Elementos puros.";"SAGRADA MADRE";"UNIDAD";8;0,16;" $1.141,85 ";" $951,54 ";" $761,23 "
"SMBAX82";"Bomba activada Yagra y Canela.";"SAGRADA MADRE";"UNIDAD";8;0,16;" $1.141,85 ";" $951,54 ";" $761,23 "
"SMBAX83";"Bomba activada Incienso y Mirra.";"SAGRADA MADRE";"UNIDAD";8;0,16;" $1.141,85 ";" $951,54 ";" $761,23 "
"SMBAX84";"Bomba activada Palo santo.";"SAGRADA MADRE";"UNIDAD";8;0,16;" $1.141,85 ";" $951,54 ";" $761,23 "
"SMBAX85";"Bomba activada Benjui y almizcle.";"SAGRADA MADRE";"UNIDAD";8;0,16;" $1.141,85 ";" $951,54 ";" $761,23 "
"SMBAX86";"Bomba activada Limpieza energetica.";"SAGRADA MADRE";"UNIDAD";8;0,16;" $1.141,85 ";" $951,54 ";" $761,23 "
"SMBAX87";"Bomba activada Estoraque y Alcanfor.";"SAGRADA MADRE";"UNIDAD";8;0,16;" $1.141,85 ";" $951,54 ";" $761,23 "
"SMBAX88";"Bomba activada 7 Hierbas copal.";"SAGRADA MADRE";"UNIDAD";8;0,16;" $1.141,85 ";" $951,54 ";" $761,23 "
"SMBA7C";"Bomba activada 7 chakras";"SAGRADA MADRE";"UNIDAD";7;0,14;" $1.080,68 ";" $900,57 ";" $720,45 "
"SMBAH1";"Bomba Herbal Armonia";"SAGRADA MADRE";"UNIDAD";4;0,08;" $672,88 ";" $560,73 ";" $448,58 "
"SMBAH2";"Bomba Herbal Renacer";"SAGRADA MADRE";"UNIDAD";4;0,08;" $672,88 ";" $560,73 ";" $448,58 "
"SMBAH3";"Bomba Herbal Destrabar";"SAGRADA MADRE";"UNIDAD";4;0,08;" $672,88 ";" $560,73 ";" $448,58 "
"SMBAH4";"Bomba Herbal Fortuna";"SAGRADA MADRE";"UNIDAD";4;0,08;" $672,88 ";" $560,73 ";" $448,58 "
"SMBAH5";"Bomba Herbal Amor";"SAGRADA MADRE";"UNIDAD";4;0,08;" $672,88 ";" $560,73 ";" $448,58 "
"SMBAH6";"Bomba Herbal Purificar";"SAGRADA MADRE";"UNIDAD";4;0,08;" $672,88 ";" $560,73 ";" $448,58 "
"SMBAH7";"Bomba Herbal Limpiar";"SAGRADA MADRE";"UNIDAD";4;0,08;" $672,88 ";" $560,73 ";" $448,58 "
"SMBAH8";"Bomba Herbal 7 Poderes";"SAGRADA MADRE";"UNIDAD";4;0,08;" $672,88 ";" $560,73 ";" $448,58 "
"SMBHX3G1";"Bomba Herbal XL x3gr Limpieza energetica";"SAGRADA MADRE";"UNIDAD";3;0,06;" $1.488,51 ";" $1.240,43 ";" $992,34 "
"SMBHX3G2";"Bomba Herbal XL x3gr Purificacion energetica";"SAGRADA MADRE";"UNIDAD";3;0,06;" $1.488,51 ";" $1.240,43 ";" $992,34 "
"SMPA1";"Perlas aromaticas Vainilla";"SAGRADA MADRE";"UNIDAD";12;0,24;" $23.743,66 ";" $19.786,38 ";" $15.829,11 "
"SMPA2";"Perlas aromaticas Frutilla";"SAGRADA MADRE";"UNIDAD";12;0,24;" $23.743,66 ";" $19.786,38 ";" $15.829,11 "
"SMPA3";"Perlas aromaticas Jazmin";"SAGRADA MADRE";"UNIDAD";12;0,24;" $23.743,66 ";" $19.786,38 ";" $15.829,11 "
"SMPA4";"Perlas aromaticas Lavanda";"SAGRADA MADRE";"UNIDAD";12;0,24;" $23.743,66 ";" $19.786,38 ";" $15.829,11 "
"SMPA5";"Perlas aromaticas Rosa";"SAGRADA MADRE";"UNIDAD";12;0,24;" $23.743,66 ";" $19.786,38 ";" $15.829,11 "
"SMPA6";"Perlas aromaticas Flores";"SAGRADA MADRE";"UNIDAD";12;0,24;" $23.743,66 ";" $19.786,38 ";" $15.829,11 "
"SMPA7";"Perlas aromaticas Coco";"SAGRADA MADRE";"UNIDAD";12;0,24;" $23.743,66 ";" $19.786,38 ";" $15.829,11 "
"SMPA8";"Perlas aromaticas Primavera";"SAGRADA MADRE";"UNIDAD";12;0,24;" $23.743,66 ";" $19.786,38 ";" $15.829,11 "
"SMPA9";"Perlas aromaticas Limon";"SAGRADA MADRE";"UNIDAD";12;0,24;" $23.743,66 ";" $19.786,38 ";" $15.829,11 "
"SMPA10";"Perlas aromaticas Hindu";"SAGRADA MADRE";"UNIDAD";12;0,24;" $23.743,66 ";" $19.786,38 ";" $15.829,11 "
"SMPA11";"Perlas aromaticas Reina de la noche";"SAGRADA MADRE";"UNIDAD";12;0,24;" $23.743,66 ";" $19.786,38 ";" $15.829,11 "
"SMPA12";"Perlas aromaticas Sandalo";"SAGRADA MADRE";"UNIDAD";12;0,24;" $23.743,66 ";" $19.786,38 ";" $15.829,11 "
"SMPA13";"Perlas aromaticas Surtidas - 1 de cada aroma";"SAGRADA MADRE";"UNIDAD";12;0,24;" $23.743,66 ";" $19.786,38 ";" $15.829,11 "
"SMSC1";"Sahumo chico Limpieza energetica";"SAGRADA MADRE";"UNIDAD";1;0,1;" $1.211,96 ";" $1.009,97 ";" $807,97 "
"SMSD1";"Sahumerio duo 7 Poderes-Renacer";"SAGRADA MADRE";"UNIDAD";6;0,06;" $1.837,39 ";" $1.531,16 ";" $1.224,93 "
"SMSD2";"Sahumerio duo Fortuna-Purificacion";"SAGRADA MADRE";"UNIDAD";6;0,06;" $1.837,39 ";" $1.531,16 ";" $1.224,93 "
"SMSD3";"Sahumerio duo Limpieza-Armonia";"SAGRADA MADRE";"UNIDAD";6;0,06;" $1.837,39 ";" $1.531,16 ";" $1.224,93 "
"SMSD4";"Sahumerio duo Sanar-Destrabar";"SAGRADA MADRE";"UNIDAD";6;0,06;" $1.837,39 ";" $1.531,16 ";" $1.224,93 "
"SMEL1";"Sahumerio Energia limpia Revitalizar";"SAGRADA MADRE";"UNIDAD";4;0,04;" $1.549,65 ";" $1.291,38 ";" $1.033,10 "
"SMEL2";"Sahumerio Energia limpia Armonizar";"SAGRADA MADRE";"UNIDAD";4;0,04;" $1.549,65 ";" $1.291,38 ";" $1.033,10 "
"SMEL3";"Sahumerio Energia limpia Renacer";"SAGRADA MADRE";"UNIDAD";4;0,04;" $1.549,65 ";" $1.291,38 ";" $1.033,10 "
"SMEL4";"Sahumerio Energia limpia Sanar";"SAGRADA MADRE";"UNIDAD";4;0,04;" $1.549,65 ";" $1.291,38 ";" $1.033,10 "
"SMOL111";"Oleum Equilibrio x 10 ml";"SAGRADA MADRE";"UNIDAD";1;0,1;" $8.733,78 ";" $7.278,15 ";" $5.822,52 "
"SMOL12";"Oleum Revitalizante x 10 ml";"SAGRADA MADRE";"UNIDAD";1;0,1;" $8.733,78 ";" $7.278,15 ";" $5.822,52 "
"SMOL123";"Oleum Purificacion x 10 ml";"SAGRADA MADRE";"UNIDAD";1;0,1;" $11.170,82 ";" $9.309,02 ";" $7.447,22 "
"SMOL13";"Oleum Relajante x 10 ml";"SAGRADA MADRE";"UNIDAD";1;0,1;" $8.733,78 ";" $7.278,15 ";" $5.822,52 "
"SMOL13A";"Oleum Concentracion x 10 ml";"SAGRADA MADRE";"UNIDAD";1;0,1;" $11.170,82 ";" $9.309,02 ";" $7.447,22 "
"SMOL21";"Oleum Calma x 10 ml";"SAGRADA MADRE";"UNIDAD";1;0,1;" $8.733,78 ";" $7.278,15 ";" $5.822,52 "
"SMOL2111";"Oleum Armonia x 10 ml";"SAGRADA MADRE";"UNIDAD";1;0,1;" $11.170,82 ";" $9.309,02 ";" $7.447,22 "
"SMOL22";"Oleum Afrodisiaco x 10 ml";"SAGRADA MADRE";"UNIDAD";1;0,1;" $8.733,78 ";" $7.278,15 ";" $5.822,52 "
"SMOL221";"Oleum Limpieza energetica x 10 ml";"SAGRADA MADRE";"UNIDAD";1;0,1;" $11.170,82 ";" $9.309,02 ";" $7.447,22 "
"SMOL22A";"Oleum Energia renovada x 10 ml";"SAGRADA MADRE";"UNIDAD";1;0,1;" $8.733,78 ";" $7.278,15 ";" $5.822,52 "
"SMOL311";"Oleum Amor x 10 ml";"SAGRADA MADRE";"UNIDAD";1;0,1;" $11.170,82 ";" $9.309,02 ";" $7.447,22 "
"SMSEP1";"Sahumerio en polvo Jazmin 60gr";"SAGRADA MADRE";"UNIDAD";1;0,01;" $1.791,81 ";" $1.493,18 ";" $1.194,54 "
"SMSEP2";"Sahumerio en polvo Vainilla 60gr";"SAGRADA MADRE";"UNIDAD";1;0,01;" $1.791,81 ";" $1.493,18 ";" $1.194,54 "
"SMSEP3";"Sahumerio en polvo Lavanda 60gr";"SAGRADA MADRE";"UNIDAD";1;0,01;" $1.791,81 ";" $1.493,18 ";" $1.194,54 "
"SMSEP4";"Sahumerio en polvo Sandalo 60gr";"SAGRADA MADRE";"UNIDAD";1;0,01;" $1.791,81 ";" $1.493,18 ";" $1.194,54 "
"SMSEP5";"Sahumerio en polvo 7 Poderes 60gr";"SAGRADA MADRE";"UNIDAD";1;0,01;" $1.791,81 ";" $1.493,18 ";" $1.194,54 "
"SMSEP6";"Sahumerio en polvo Limpieza energetica 60gr";"SAGRADA MADRE";"UNIDAD";1;0,01;" $1.791,81 ";" $1.493,18 ";" $1.194,54 "
"SMSEP7";"Sahumerio en polvo Yagra 60gr";"SAGRADA MADRE";"UNIDAD";1;0,01;" $1.791,81 ";" $1.493,18 ";" $1.194,54 "
"SMSEP8";"Sahumerio en polvo Alcanfor 60gr";"SAGRADA MADRE";"UNIDAD";1;0,01;" $1.791,81 ";" $1.493,18 ";" $1.194,54 "
"SMSEP9";"Sahumerio en polvo Benjui 60gr";"SAGRADA MADRE";"UNIDAD";1;0,01;" $1.791,81 ";" $1.493,18 ";" $1.194,54 "
"SMSEP10";"Sahumerio en polvo Rosa 60gr";"SAGRADA MADRE";"UNIDAD";1;0,01;" $1.791,81 ";" $1.493,18 ";" $1.194,54 "
"SMSEP11";"Sahumerio en polvo Citronella 60gr";"SAGRADA MADRE";"UNIDAD";1;0,01;" $1.791,81 ";" $1.493,18 ";" $1.194,54 "
"SMSEP12";"Sahumerio en polvo Palo santo 60gr";"SAGRADA MADRE";"UNIDAD";1;0,01;" $1.791,81 ";" $1.493,18 ";" $1.194,54 "
"SMSB1";"Sahumerio botanico- Gardenias-calendula";"SAGRADA MADRE";"UNIDAD";6;0,06;" $1.756,03 ";" $1.463,36 ";" $1.170,69 "
"SMSB2";"Sahumerio botanico- Jazmin-Rosas";"SAGRADA MADRE";"UNIDAD";6;0,06;" $1.756,03 ";" $1.463,36 ";" $1.170,69 "
"SMSB3";"Sahumerio botanico- Lavanda-Rosas";"SAGRADA MADRE";"UNIDAD";6;0,06;" $1.756,03 ";" $1.463,36 ";" $1.170,69 "
"SMSB4";"Sahumerio botanico- Te verde-Flor de champa";"SAGRADA MADRE";"UNIDAD";6;0,06;" $1.756,03 ";" $1.463,36 ";" $1.170,69 "
"SMSB5";"Sahumerio botanico- Magnolia";"SAGRADA MADRE";"UNIDAD";6;0,06;" $1.756,03 ";" $1.463,36 ";" $1.170,69 "
"SMSB6";"Sahumerio botanico- Fresias";"SAGRADA MADRE";"UNIDAD";6;0,06;" $1.756,03 ";" $1.463,36 ";" $1.170,69 "
"SMSB7";"Sahumerio botanico- Nardo incienso";"SAGRADA MADRE";"UNIDAD";6;0,06;" $1.756,03 ";" $1.463,36 ";" $1.170,69 "
"SMSB8";"Sahumerio botanico- Clavo de olor";"SAGRADA MADRE";"UNIDAD";6;0,06;" $1.756,03 ";" $1.463,36 ";" $1.170,69 "
"SMS5E1";"Sahumerio 5 Elementos - Alegria";"SAGRADA MADRE";"UNIDAD";6;0,06;" $1.468,10 ";" $1.223,42 ";" $978,73 "
"SMS5E2";"Sahumerio 5 Elementos - Armonia";"SAGRADA MADRE";"UNIDAD";6;0,06;" $1.468,10 ";" $1.223,42 ";" $978,73 "
"SMS5E3";"Sahumerio 5 Elementos - Claridad";"SAGRADA MADRE";"UNIDAD";6;0,06;" $1.468,10 ";" $1.223,42 ";" $978,73 "
"SMS5E4";"Sahumerio 5 Elementos - Fuego";"SAGRADA MADRE";"UNIDAD";6;0,06;" $1.468,10 ";" $1.223,42 ";" $978,73 "
"SMS5E5";"Sahumerio 5 Elementos - Renacer";"SAGRADA MADRE";"UNIDAD";6;0,06;" $1.468,10 ";" $1.223,42 ";" $978,73 "
"SMSMBM";"Sahumerio Maha Blend Masala";"SAGRADA MADRE";"UNIDAD";8;0,08;" $3.132,25 ";" $2.610,21 ";" $2.088,17 "
"SMSY1";"Sahumerio Yagra - Violetas  lavanda";"SAGRADA MADRE";"UNIDAD";6;0,06;" $2.069,54 ";" $1.724,62 ";" $1.379,70 "
"SMSY2";"Sahumerio Yagra - Rosas y vainilla";"SAGRADA MADRE";"UNIDAD";6;0,06;" $2.069,54 ";" $1.724,62 ";" $1.379,70 "
"SMSY3";"Sahumerio Yagra - Orquideas y laurel";"SAGRADA MADRE";"UNIDAD";6;0,06;" $2.069,54 ";" $1.724,62 ";" $1.379,70 "
"SMSY4";"Sahumerio Yagra - Manzanilla y olibano";"SAGRADA MADRE";"UNIDAD";6;0,06;" $2.069,54 ";" $1.724,62 ";" $1.379,70 "
"SMPSOM";"Porta sahumerio OM ";"SAGRADA MADRE";"UNIDAD";1;0,03;" $-   ";" $-   ";" $-   "
"SMPSWOOD";"Porta sahumerio WOOD";"SAGRADA MADRE";"UNIDAD";1;0,03;" $3.938,26 ";" $3.281,89 ";" $2.625,51 "
"SMSSC";"Sahumador Sagrado Color";"SAGRADA MADRE";"UNIDAD";1;0,1;" $-   ";" $-   ";" $-   "
"SMSCE";"Sahumador chico cemento";"SAGRADA MADRE";"UNIDAD";1;0,1;" $1.873,26 ";" $1.561,05 ";" $1.248,84 "
"SMSAX301";"Sahumerio Artesano - Palo santo";"SAGRADA MADRE";"UNIDAD";30;0,15;" $5.687,71 ";" $4.739,76 ";" $3.791,81 "
"SMSAX302";"Sahumerio Artesano - Palo santo / vainilla";"SAGRADA MADRE";"UNIDAD";30;0,15;" $5.687,71 ";" $4.739,76 ";" $3.791,81 "
"SMSAX303";"Sahumerio Artesano - Palo santo / rosa";"SAGRADA MADRE";"UNIDAD";30;0,15;" $5.687,71 ";" $4.739,76 ";" $3.791,81 "
"SMSAX304";"Sahumerio Artesano - Palo santo / lavanda";"SAGRADA MADRE";"UNIDAD";30;0,15;" $5.687,71 ";" $4.739,76 ";" $3.791,81 "
"SMSAX305";"Sahumerio Artesano - Palo santo / champa";"SAGRADA MADRE";"UNIDAD";30;0,15;" $5.687,71 ";" $4.739,76 ";" $3.791,81 "
"SMSAX306";"Sahumerio Artesano - Palo santo / jazmin";"SAGRADA MADRE";"UNIDAD";30;0,15;" $5.687,71 ";" $4.739,76 ";" $3.791,81 "
"SMSAX307";"Sahumerio Artesano - Palo santo / Jengibre";"SAGRADA MADRE";"UNIDAD";30;0,15;" $5.687,71 ";" $4.739,76 ";" $3.791,81 "
"SMSAX308";"Sahumerio Artesano - Copal";"SAGRADA MADRE";"UNIDAD";30;0,15;" $5.687,71 ";" $4.739,76 ";" $3.791,81 "
"SMSAX309";"Sahumerio Artesano - Lavanda";"SAGRADA MADRE";"UNIDAD";30;0,15;" $5.687,71 ";" $4.739,76 ";" $3.791,81 "
"SMSAX310";"Sahumerio Artesano - Flor arbol paraiso";"SAGRADA MADRE";"UNIDAD";30;0,15;" $5.687,71 ";" $4.739,76 ";" $3.791,81 "
"SMSAX311";"Sahumerio Artesano - Sangre de dragon";"SAGRADA MADRE";"UNIDAD";30;0,15;" $5.687,71 ";" $4.739,76 ";" $3.791,81 "
"SMSAX312";"Sahumerio Artesano - Ruda, romero incienso";"SAGRADA MADRE";"UNIDAD";30;0,15;" $5.687,71 ";" $4.739,76 ";" $3.791,81 "
"SMSAX313";"Sahumerio Artesano - Reina de la noche lavanda";"SAGRADA MADRE";"UNIDAD";30;0,15;" $5.687,71 ";" $4.739,76 ";" $3.791,81 "
"SMSAX314";"Sahumerio Artesano - Gardenias calendula";"SAGRADA MADRE";"UNIDAD";30;0,15;" $5.687,71 ";" $4.739,76 ";" $3.791,81 "
"SMSAX315";"Sahumerio Artesano - Incienso";"SAGRADA MADRE";"UNIDAD";30;0,15;" $5.687,71 ";" $4.739,76 ";" $3.791,81 "
"SMSAX316";"Sahumerio Artesano - Jazmin y rosas";"SAGRADA MADRE";"UNIDAD";30;0,15;" $5.687,71 ";" $4.739,76 ";" $3.791,81 "
"SMSAX317";"Sahumerio Artesano - Yagra";"SAGRADA MADRE";"UNIDAD";30;0,15;" $5.687,71 ";" $4.739,76 ";" $3.791,81 "
"SMSAX318";"Sahumerio Artesano - Te verde- Flor de champa";"SAGRADA MADRE";"UNIDAD";30;0,15;" $5.687,71 ";" $4.739,76 ";" $3.791,81 "
"SMSAX319";"Sahumerio Artesano - Citronella, Naranja palo santo";"SAGRADA MADRE";"UNIDAD";30;0,15;" $5.687,71 ";" $4.739,76 ";" $3.791,81 "
"SMSAX320";"Sahumerio Artesano - SÃ¡ndalo";"SAGRADA MADRE";"UNIDAD";30;0,15;" $5.687,71 ";" $4.739,76 ";" $3.791,81 "
"SMSAX321";"Sahumerio Artesano - Lemon Grass olibano";"SAGRADA MADRE";"UNIDAD";30;0,15;" $5.687,71 ";" $4.739,76 ";" $3.791,81 "
"SMSAX322";"Sahumerio Artesano - Rosa";"SAGRADA MADRE";"UNIDAD";30;0,15;" $5.687,71 ";" $4.739,76 ";" $3.791,81 "
"SMPSSTICK";"Palo Santo Stick Blend";"SAGRADA MADRE";"UNIDAD";1;0,1;" $1.599,20 ";" $1.332,67 ";" $1.066,13 "
"SMSPAV";"Sahumerio Patagonia - Algarroba y Vainilla";"SAGRADA MADRE";"UNIDAD";6;0,06;" $2.063,78 ";" $1.719,82 ";" $1.375,85 "
"SMSPH";"Sahumerio Patagonia - Hibiscus";"SAGRADA MADRE";"UNIDAD";6;0,06;" $2.063,78 ";" $1.719,82 ";" $1.375,85 "
"SMSPHMM";"Sahumerio Patagonia - Hierba Mate y menta";"SAGRADA MADRE";"UNIDAD";6;0,06;" $2.063,78 ";" $1.719,82 ";" $1.375,85 "
"SMSPLS";"Sahumerio Patagonia - Lavanda silvestre";"SAGRADA MADRE";"UNIDAD";6;0,06;" $2.063,78 ";" $1.719,82 ";" $1.375,85 "
"SMSPL";"Sahumerio Patagonia - Limon";"SAGRADA MADRE";"UNIDAD";6;0,06;" $2.063,78 ";" $1.719,82 ";" $1.375,85 "
"SMSPRS";"Sahumerio Patagonia - Rosa mosqueta";"SAGRADA MADRE";"UNIDAD";6;0,06;" $2.063,78 ";" $1.719,82 ";" $1.375,85 "
"SMSPN";"Sahumerio Patagonia - Neroli";"SAGRADA MADRE";"UNIDAD";6;0,06;" $2.063,78 ";" $1.719,82 ";" $1.375,85 "
"SMSPNV";"Sahumerio Patagonia - Naranja vainilla";"SAGRADA MADRE";"UNIDAD";6;0,06;" $2.063,78 ";" $1.719,82 ";" $1.375,85 "
"SMSPR";"Sahumerio Patagonia - Ruda";"SAGRADA MADRE";"UNIDAD";6;0,06;" $2.116,09 ";" $1.763,41 ";" $1.410,73 "
"SMSPT";"Sahumerio Patagonia - Tilo";"SAGRADA MADRE";"UNIDAD";6;0,06;" $2.116,09 ";" $1.763,41 ";" $1.410,73 "
"SMSPP";"Sahumerio Patagonia - Palmarosa";"SAGRADA MADRE";"UNIDAD";6;0,06;" $2.063,78 ";" $1.719,82 ";" $1.375,85 "
"SMSPJ";"Sahumerio Patagonia - Jazmin";"SAGRADA MADRE";"UNIDAD";6;0,06;" $2.063,78 ";" $1.719,82 ";" $1.375,85 "
"CSRF05";"Sal rosada x 1/2 kg FINA";"SAGRADA MADRE";"UNIDAD";0,5;0,5;" $1.267,50 ";" $1.056,25 ";" $845,00 "
"CSRG05";"Sal rosada x 1/2 kg GRUESA";"SAGRADA MADRE";"UNIDAD";0,5;0,5;" $1.462,50 ";" $1.218,75 ";" $975,00 "
"SMPAC";"COPALERA ANCESTRAL CHICA";"SAGRADA MADRE";"UNIDAD";1;0,5;" $3.696,79 ";" $3.080,66 ";" $2.464,52 "
"SMPAG";"COPALERA ANCESTRAL GRANDE";"SAGRADA MADRE";"UNIDAD";1;0,5;" $3.510,18 ";" $2.925,15 ";" $2.340,12 "
"SMPMT";"COPALERA MADRE TIERRA";"SAGRADA MADRE";"UNIDAD";1;0,5;" $3.690,19 ";" $3.075,16 ";" $2.460,13 "
"SMC1";"CONOS ambar naranja ";"SAGRADA MADRE";"UNIDAD";8;0,08;" $2.980,08 ";" $2.483,40 ";" $1.986,72 "
"SMC2";"CONOS calÃ©ndula y romero";"SAGRADA MADRE";"UNIDAD";8;0,08;" $2.980,08 ";" $2.483,40 ";" $1.986,72 "
"SMC3";"CONOS canela y vainilla";"SAGRADA MADRE";"UNIDAD";8;0,08;" $2.980,08 ";" $2.483,40 ";" $1.986,72 "
"SMC4";"CONOS lavanda y violeta";"SAGRADA MADRE";"UNIDAD";8;0,08;" $2.980,08 ";" $2.483,40 ";" $1.986,72 "
"SMC5";"CONOS pachuli y palo santo";"SAGRADA MADRE";"UNIDAD";8;0,08;" $2.980,08 ";" $2.483,40 ";" $1.986,72 "
"SMC6";"CONOS petalos de rosa";"SAGRADA MADRE";"UNIDAD";8;0,08;" $2.980,08 ";" $2.483,40 ";" $1.986,72 "
"SMC7";"CONOS sÃ¡ndalo y copal";"SAGRADA MADRE";"UNIDAD";8;0,08;" $2.980,08 ";" $2.483,40 ";" $1.986,72 "
"SMC8";"CONOS yagra y sÃ¡ndalo";"SAGRADA MADRE";"UNIDAD";8;0,08;" $2.980,08 ";" $2.483,40 ";" $1.986,72 "
"SMKT";"Kit TURMALINA";"SAGRADA MADRE";"UNIDAD";1;1;" $11.064,01 ";" $9.220,01 ";" $7.376,00 "
